longitude,latitude,location,seqnum,team_name,latitude_guess,longitude_guess,distance,score
-76.97856857999246,38.89194658811411,"38.8919465881141,-76.9785685799925",1,Eva,38.8913898811719,-76.9808549834757,681.0034471459004,4555
-76.97856857999246,38.89194658811411,"38.8919465881141,-76.9785685799925",1,Jay,38.8894124185634,-76.9890117645264,3109.5974760463214,3266
-76.98367995948921,38.944660366352814,"38.9446603663528,-76.9836799594892",2,Eva,38.9455772115707,-76.9621326754276,6129.667413081471,2159
-76.98367995948921,38.944660366352814,"38.9446603663528,-76.9836799594892",2,Jay,38.9460506764037,-77.0048086278069,6023.028406469878,2191
-77.10640141827298,38.93586640880786,"38.9358664088079,-77.106401418273",4,Eva,38.9223485482266,-76.9683495909438,39532.02082536692,22
-77.10640141827298,38.93586640880786,"38.9358664088079,-77.106401418273",4,Jay,38.9310273953577,-77.0049780367803,28868.2403433337,96
-77.09763310863823,38.92859068542306,"38.9285906854231,-77.0976331086382",5,Eva,39.0041013624492,-76.9907170940261,41015.95330148646,18
-77.09763310863823,38.92859068542306,"38.9285906854231,-77.0976331086382",5,Jay,38.9230178971721,-77.0766458944909,6300.826981975837,2109
-76.97212147181398,38.93965918208874,"38.9396591820887,-76.972121471814",6,Eva,38.9608178135008,-77.0380709416457,20262.999131963657,312
-76.97212147181398,38.93965918208874,"38.9396591820887,-76.972121471814",6,Jay,38.9396293205867,-76.972194395113,23.410974575277965,4984
